algorithm,initial_steps,final_steps,total_reward,average_reward,average_actor_loss,average_critic_loss,num_episodes,max_steps
MAPPO,0,100000,-1181852,-11.82,-0.014766910136919468,352.7986,44,5000
MAPPO,100000,200000,-933286,-9.33,-0.01393207553374581,244.0509,50,5000
MAPPO,200000,300000,-929504,-9.3,-0.01345739591009915,281.778,56,5000
MAPPO,300000,400000,-746748,-7.47,-0.013146735281506554,211.9516,66,5000
MAPPO,400000,500000,-709750,-7.1,-0.012750947595862672,193.6696,69,3549
MAPPO,500000,600000,-650781,-6.51,-0.012467297339774669,180.1504,74,3422
MAPPO,600000,700000,-553193,-5.53,-0.012154181261109188,154.8061,91,2463
MAPPO,700000,800000,-528947,-5.29,-0.0119180778986495,147.9794,95,2219
MAPPO,800000,900000,-501132,-5.01,-0.011685137165570632,153.246,103,2210
MAPPO,900000,1000000,-487998,-4.88,-0.011455224685631692,157.2464,107,2174
MAPPO,1000000,1100000,-483587,-4.84,-0.011258037698268891,143.6484,110,1750
MAPPO,1100000,1200000,-432886,-4.33,-0.011306163022788241,154.9058,125,2028
MAPPO,1200000,1300000,-419168,-4.19,-0.011368765336954967,154.9025,124,1816
MAPPO,1300000,1400000,-416819,-4.17,-0.010726207535602153,153.2197,129,1695
MAPPO,1400000,1500000,-440308,-4.4,-0.011411251523867249,173.1148,127,2759
MAPPO,1500000,1600000,-396223,-3.96,-0.010648911177441477,157.0887,140,1756
MAPPO,1600000,1700000,-392932,-3.93,-0.010515400397614576,155.4582,142,1522
MAPPO,1700000,1800000,-353869,-3.54,-0.011148558651511558,187.1336,152,1465
MAPPO,1800000,1900000,-377256,-3.77,-0.010871546166660265,169.5718,154,1498
MAPPO,1900000,2000000,-336711,-3.37,-0.01066931480971165,168.9734,156,1464
MAPPO,2000000,2100000,-351533,-3.52,-0.010645624663089402,170.1998,163,1928
MAPPO,2100000,2200000,-315994,-3.16,-0.011812956473054364,212.1289,177,1960
MAPPO,2200000,2300000,-289402,-2.89,-0.011968984729927034,206.3335,178,1439
MAPPO,2300000,2400000,-334422,-3.34,-0.012301110582142137,207.6447,172,1391
MAPPO,2400000,2500000,-282670,-2.83,-0.012730553416558541,242.7015,192,1460
MAPPO,2500000,2600000,-288428,-2.88,-0.012687973471046426,227.9213,196,1184
MAPPO,2600000,2700000,-281424,-2.81,-0.013393839435949921,245.3864,194,1282
MAPPO,2700000,2800000,-278203,-2.78,-0.014590466113490984,263.573,205,1232
MAPPO,2800000,2900000,-302696,-3.03,-0.014543068584641442,279.5579,193,1863
MAPPO,2900000,3000000,-282546,-2.83,-0.016447668141904286,297.9975,213,1356
MAPPO,3000000,3100000,-370220,-3.7,-0.014244619817743078,325.6242,199,2829
MAPPO,3100000,3200000,-247986,-2.48,-0.01694349012704566,327.5222,220,1747
MAPPO,3200000,3300000,-298275,-2.98,-0.017225679717157036,347.8688,221,1725
MAPPO,3300000,3400000,-211949,-2.12,-0.020126062944578006,402.7388,243,1155
MAPPO,3400000,3500000,-221084,-2.21,-0.020353670116788708,403.1188,246,1097
MAPPO,3500000,3600000,-243167,-2.43,-0.024112359357103704,479.6276,250,1176
MAPPO,3600000,3700000,-237901,-2.38,-0.03369083923803177,654.4779,257,1744
MAPPO,3700000,3800000,-269924,-2.7,-0.03618140426824335,781.0573,260,3977
MAPPO,3800000,3900000,-344502,-3.45,-0.029368693778645247,706.8533,244,5000
MAPPO,3900000,4000000,-210139,-2.1,-0.045661924759033135,929.7886,275,1722
MAPPO,4000000,4100000,-220207,-2.2,-0.04676761286082212,994.7523,286,1708
MAPPO,4100000,4200000,-228259,-2.28,-0.03634048108220566,814.3712,282,2534
MAPPO,4200000,4300000,-216642,-2.17,-0.062163424708647656,1421.0536,294,2553
MAPPO,4300000,4400000,-198986,-1.99,-0.041591541710752064,929.5439,302,1758
MAPPO,4400000,4500000,-255080,-2.55,-0.04027346152791753,933.9999,292,1998
MAPPO,4500000,4600000,-180641,-1.81,-0.05402256369777955,1182.4145,309,2012
MAPPO,4600000,4700000,-294323,-2.94,-0.06775373499901034,1609.4852,295,5000
MAPPO,4700000,4800000,-236669,-2.37,-0.058401054337820966,1388.1017,307,4590
MAPPO,4800000,4900000,-249887,-2.5,-0.09663719725143165,2231.3363,321,5000
MAPPO,4900000,5000000,-99490,-0.99,-0.08244878505633213,1850.2042,344,2643
MAPPO,5000000,5100000,-108805,-1.09,-0.09723376973693725,2158.1808,353,3080
MAPPO,5100000,5200000,-458830,-4.59,-0.05497858849754091,1590.5119,290,5000
MAPPO,5200000,5300000,-130105,-1.3,-0.07517035502982326,1854.8998,350,5000
MAPPO,5300000,5400000,-158808,-1.59,-0.08314663645395544,2086.1227,360,5000
MAPPO,5400000,5500000,-72229,-0.72,-0.12966443533356767,2964.0442,367,2999
MAPPO,5500000,5600000,-139938,-1.4,-0.0661377097277809,1671.556,360,5000
MAPPO,5600000,5700000,-284969,-2.85,-0.056687981201838704,1544.4806,343,5000
MAPPO,5700000,5800000,-136820,-1.37,-0.06623592645383905,1720.2605,362,3722
MAPPO,5800000,5900000,-23861,-0.24,-0.07201440631522797,1726.6435,376,1736
MAPPO,5900000,6000000,-116947,-1.17,-0.0827830510247685,2050.0977,392,4773
